"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Data Quality","Name Validation","2","0","0","0","0"
"","Business Logic","Schedule Coverage","1","0","3","0","0"
"","Business Logic","Interval Calculation","0","0","2","0","0"
"","Data Integrity","Referential Integrity","0","0","2","0","0"
"","Database Integrity","General Validation","0","0","3","0","0"
"","Test Setup","Data Preparation","0","0","2","0","0"
"","Table Consistency","Program Count Validation","0","0","1","0","0"
"","Data Integrity","Orphaned Records","0","0","1","0","0"
